File,Language,Transcription,Normalized Transcription
KC-00001.wav,en,This is a test recording for my first voice model.,This is a test recording for my first voice model.
KC-00002.wav,en,This is another test recording for my voice model.,This is another test recording for my voice model.
KC-00003.wav,en,I am going to build a voice model.,I am going to build a voice model.
KC-00004.wav,en,My name is Kelsey Cotton and I am 29 years old.,My name is Kelsey Cotton and I am twenty nine years old.
KC-00005.wav,en,"My birthday is May 30 1994.","My birthday is May thirtieth  nineteen ninety four."
KC-00006.wav,en,I moved to Sweden in October of 2020.,I moved to Sweden in October of 2020.
KC-00007.wav,en,I have a master's degree in music performance and composition.,I have a master's degree in music performance and composition.
KC-00008.wav,en,I need to give myself a manicure.,I need to give myself a manicure.
KC-00009.wav,en,I have a lot of books.,I have a lot of books.
KC-00010.wav,en,I just ate a lot of peanut butter toast for breakfast.,I just ate a lot of peanut butter toast for breakfast.
KC-00011.wav,en,I am lactose intolerant.,I am lactose intolerant.
KC-00012.wav,en,My boyfriend's name is Marcus Renberg.,My boyfriend's name is Marcus Renberg.
KC-00013.wav,en,He is from Petio in the north of Sweden.,He is from Petio in the north of Sweden.
KC-00014.wav,en,I have lots of DVDs.,I have lots of DVDs.
KC-00015.wav,en,I cleaned my house this morning.,I cleaned my house this morning.
KC-00016.wav,en,I have a lighter on my floor.,I have a lighter on my floor.
KC-00017.wav,en,I need to vacuum.,I need to vacuum.
KC-00018.wav,en,I have a TikTok addiction.,I have a TikTok addiction.
KC-00019.wav,en,The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.
KC-00020.wav,en,Today's weather forecast predicts scattered showers in the afternoon.,Today's weather forecast predicts scattered showers in the afternoon.
KC-00021.wav,en,Could you play my favorite song by The Beatles?,Could you play my favorite song by The Beatles?
KC-00022.wav,en,Don't forget to water the plants before you leave.,Don't forget to water the plants before you leave.
KC-00023.wav,en,I'd like to make a dinner reservation for 2 at 7pm.,I'd like to make a dinner reservation for two at seven pm.
KC-00024.wav,en,The conference room is located on the third floor to your left.,The conference room is located on the third floor to your left.
KC-00025.wav,en,Could you set a timer for 20 minutes please?,Could you set a timer for twenty minutes please?
KC-00026.wav,en,Can you tell me a joke to lighten the mood?,Can you tell me a joke to lighten the mood?
KC-00027.wav,en,How do you say hello in French?,How do you say hello in French?
KC-00028.wav,en,I need directions to the nearest gas station.,I need directions to the nearest gas station.
KC-00029.wav,en,Did you hear about that new restaurant that just opened downtown?,Did you hear about that new restaurant that just opened downtown?
KC-00030.wav,en,The train arrived at the station right on time.,The train arrived at the station right on time.
KC-00031.wav,en,What's the difference between affect and effect?,What's the difference between affect and effect?
KC-00032.wav,en,Let's go for a hike in the mountains this weekend.,Let's go for a hike in the mountains this weekend.
KC-00033.wav,en,"I'm sorry I didn't catch that. Could you repeat what you said?","I'm sorry I didn't catch that. Could you repeat what you said?"
KC-00034.wav,en,The CEO will be giving a presentation during the meeting.,The CEO will be giving a presentation during the meeting.
KC-00035.wav,en,Can you help me practice my pronunciation?,Can you help me practice my pronunciation?
KC-00036.wav,en,Could you please speak a bit louder? It's hard to hear you.,Could you please speak a bit louder? It's hard to hear you.
KC-00037.wav,en,"The movie starts at 7.30 so we should leave by 6.45.","The movie starts at seven thirty so we should leave by six fourtty five."
KC-00038.wav,en,The deadline for submitting the report is next Friday.,The deadline for submitting the report is next Friday.
KC-00039.wav,en,I can't believe it's already February. Time flies.,I can't believe it's already February. Time flies.
KC-00040.wav,en,Remember to bring an umbrella. It might rain later.,Remember to bring an umbrella. It might rain later.
KC-00041.wav,en,I'm looking forward to the weekend getaway.,I'm looking forward to the weekend getaway.
KC-00042.wav,en,The internet connection seems to be unstable today.,The internet connection seems to be unstable today.
KC-00043.wav,en,What's your favorite type of cuisine?,What's your favorite type of cuisine?
KC-00044.wav,en,I'll be attending the conference next week.,I'll be attending the conference next week.
KC-00045.wav,en,It's important to get at least 8 hours of sleep each night.,It's important to get at least eight hours of sleep each night.
KC-00046.wav,en,The pen is mightier than the sword.,The pen is mightier than the sword.
KC-00047.wav,en,Can you recommend a good book to read?,Can you recommend a good book to read?
KC-00048.wav,en,The flight to Paris has been delayed by two hours.,The flight to Paris has been delayed by two hours.
KC-00049.wav,en,"Don't worry everything will be okay in the end.","Don't worry everything will be okay in the end."
KC-00050.wav,en,Let's meet at the cafe across from the park.,Let's meet at the cafe across from the park.
KC-00051.wav,en,My favorite color is turquoise.,My favorite color is turquoise.
KC-00052.wav,en,Please turn off the lights when you leave the room.,Please turn off the lights when you leave the room.
KC-00053.wav,en,What's the capital of Australia?,What's the capital of Australia?
KC-00054.wav,en,The museum is closed on Mondays and public holidays.,The museum is closed on Mondays and public holidays.
KC-00055.wav,en,The recipe calls for two cups of flour and one egg.,The recipe calls for two cups of flour and one egg.
KC-00056.wav,en,"In a hole in the ground there lived a hobbit.","In a hole in the ground there lived a hobbit."
KC-00057.wav,en,What time does the next train to downtown depart?,What time does the next train to downtown depart?
KC-00058.wav,en,Please remind me to buy milk when I pass by the grocery store.,Please remind me to buy milk when I pass by the grocery store.
KC-00059.wav,en,"It's important to stay hydrated especially in hot weather.","It's important to stay hydrated especially in hot weather."
KC-00060.wav,en,The keys are on the kitchen counter next to the fruit bowl.,The keys are on the kitchen counter next to the fruit bowl.
KC-00061.wav,en,Have you ever tried sushi? It's delicious.,Have you ever tried sushi? It's delicious.
KC-00062.wav,en,The Great Wall of China is one of the wonders of the world.,The Great Wall of China is one of the wonders of the world.
KC-00063.wav,en,Let's go for a walk in the park and enjoy the sunshine.,Let's go for a walk in the park and enjoy the sunshine.
KC-00064.wav,en,Can you believe it's been five years since we graduated?,Can you believe it's been five years since we graduated?
KC-00065.wav,en,"Practice makes perfect so keep working on your skills.","Practice makes perfect so keep working on your skills."
KC-00066.wav,en,The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.
KC-00067.wav,en,"The seething sea ceaseth and thus the seething sea sufficeth us.","The seething sea ceaseth and thus the seething sea sufficeth us."
KC-00068.wav,en,6 slippery snails slid slowly seaward,Six slippery snails slid slowly seaward
KC-00069.wav,en,"Ice cream you scream we all scream for ice cream.","Ice cream you scream we all scream for ice cream."
KC-00070.wav,en,How much wood would a woodchuck chuck if a woodchuck could chuck wood?,How much wood would a woodchuck chuck if a woodchuck could chuck wood?
KC-00071.wav,en,"Betty Botter bought some butter but she said the butter’s bitter.","Betty Botter bought some butter but she said the butter’s bitter."
KC-00072.wav,en,How can a clam cram in a clean cream can?,How can a clam cram in a clean cream can?
KC-00073.wav,en,6 slippery snails slid slowly seaward,Six slippery snails slid slowly seaward
KC-00074.wav,en,"The sixth sick sheik’s sixth sheep’s sick","The sixth sick sheik’s sixth sheep’s sick."
KC-00075.wav,en,"Black background brown background.","Black background brown background."
KC-00076.wav,en,Mix a box of mixed biscuits with a boxed biscuit mixer.,Mix a box of mixed biscuits with a boxed biscuit mixer.
KC-00077.wav,en,toy boat toy boat toy boat,toy boat toy boat toy boat
